Date,Centre_Name,Commodity_Name,Price
09-01-09,DELHI,Onion,1150
09-01-09,SHIMLA,Onion,NA
09-01-09,SRINAGAR,Onion,NA
09-01-09,JAMMU,Onion,NA
09-01-09,AMRITSAR,Onion,NA
09-01-09,LUDHIANA,Onion,NA
09-01-09,LUCKNOW,Onion,NA
09-01-09,DEHRADUN,Onion,NA
09-01-09,RAIPUR,Onion,NA
09-01-09,AHMEDABAD,Onion,NA
09-01-09,BHOPAL,Onion,NA
09-01-09,MUMBAI,Onion,NA
09-01-09,JAIPUR,Onion,NA
09-01-09,PATNA,Onion,NA
09-01-09,RANCHI,Onion,NA
09-01-09,BHUBANESHWAR,Onion,1700
09-01-09,KOLKATA,Onion,NA
09-01-09,GUWAHATI,Onion,NA
09-01-09,SHILLONG,Onion,NA
09-01-09,AIZWAL,Onion,NA
09-01-09,KOHIMA,Onion,NA
09-01-09,AGARTALA,Onion,NA
09-01-09,BENGALURU,Onion,2000
09-01-09,T.PURAM,Onion,NA
09-01-09,CHENNAI,Onion,2000
09-01-09,HYDERABAD,Onion,NA
12-01-09,CHANDIGARH,Onion,NA
12-01-09,DELHI,Onion,1150
12-01-09,SHIMLA,Onion,NA
12-01-09,SRINAGAR,Onion,NA
12-01-09,JAMMU,Onion,NA
12-01-09,AMRITSAR,Onion,NA
12-01-09,LUDHIANA,Onion,NA
12-01-09,LUCKNOW,Onion,NA
12-01-09,DEHRADUN,Onion,NA
12-01-09,RAIPUR,Onion,NA
12-01-09,AHMEDABAD,Onion,NA
12-01-09,BHOPAL,Onion,NA
12-01-09,MUMBAI,Onion,NA
12-01-09,JAIPUR,Onion,NA
12-01-09,PATNA,Onion,NA
12-01-09,RANCHI,Onion,NA
12-01-09,BHUBANESHWAR,Onion,1700
12-01-09,KOLKATA,Onion,NA
12-01-09,GUWAHATI,Onion,NA
12-01-09,SHILLONG,Onion,NA
12-01-09,AIZWAL,Onion,NA
12-01-09,KOHIMA,Onion,NA
12-01-09,AGARTALA,Onion,NA
12-01-09,BENGALURU,Onion,2000
12-01-09,T.PURAM,Onion,NA
12-01-09,CHENNAI,Onion,1800
12-01-09,HYDERABAD,Onion,NA
13-01-09,CHANDIGARH,Onion,NA
13-01-09,DELHI,Onion,1050
13-01-09,SHIMLA,Onion,NA
13-01-09,SRINAGAR,Onion,NA
13-01-09,JAMMU,Onion,NA
13-01-09,AMRITSAR,Onion,NA
13-01-09,LUDHIANA,Onion,NA
13-01-09,LUCKNOW,Onion,NA
13-01-09,DEHRADUN,Onion,NA
13-01-09,RAIPUR,Onion,NA
13-01-09,AHMEDABAD,Onion,NA
13-01-09,BHOPAL,Onion,NA
13-01-09,MUMBAI,Onion,NA
13-01-09,JAIPUR,Onion,NA
13-01-09,PATNA,Onion,NA
13-01-09,RANCHI,Onion,NA
13-01-09,BHUBANESHWAR,Onion,NA
13-01-09,KOLKATA,Onion,NA
13-01-09,GUWAHATI,Onion,NA
13-01-09,SHILLONG,Onion,NA
13-01-09,AIZWAL,Onion,NA
13-01-09,KOHIMA,Onion,NA
13-01-09,AGARTALA,Onion,NA
13-01-09,BENGALURU,Onion,NA
13-01-09,T.PURAM,Onion,NA
13-01-09,CHENNAI,Onion,NA
13-01-09,HYDERABAD,Onion,NA
14-01-09,CHANDIGARH,Onion,NA
14-01-09,DELHI,Onion,1025
14-01-09,SHIMLA,Onion,NA
14-01-09,SRINAGAR,Onion,NA
14-01-09,JAMMU,Onion,NA
14-01-09,AMRITSAR,Onion,NA
14-01-09,LUDHIANA,Onion,NA
14-01-09,LUCKNOW,Onion,NA
14-01-09,DEHRADUN,Onion,NA
14-01-09,RAIPUR,Onion,NA
14-01-09,AHMEDABAD,Onion,NA
14-01-09,BHOPAL,Onion,NA
14-01-09,MUMBAI,Onion,NA
14-01-09,JAIPUR,Onion,NA
14-01-09,PATNA,Onion,NA
14-01-09,RANCHI,Onion,NA
14-01-09,BHUBANESHWAR,Onion,1700
14-01-09,KOLKATA,Onion,NA
14-01-09,GUWAHATI,Onion,NA
14-01-09,SHILLONG,Onion,NA
14-01-09,AIZWAL,Onion,NA
14-01-09,KOHIMA,Onion,NA
14-01-09,AGARTALA,Onion,NA
14-01-09,BENGALURU,Onion,NA
14-01-09,T.PURAM,Onion,NA
14-01-09,CHENNAI,Onion,NA
14-01-09,HYDERABAD,Onion,NA
15-01-09,CHANDIGARH,Onion,NA
15-01-09,DELHI,Onion,1025
15-01-09,SHIMLA,Onion,NA
15-01-09,SRINAGAR,Onion,NA
15-01-09,JAMMU,Onion,NA
15-01-09,AMRITSAR,Onion,NA
15-01-09,LUDHIANA,Onion,NA
15-01-09,LUCKNOW,Onion,NA
15-01-09,DEHRADUN,Onion,NA
15-01-09,RAIPUR,Onion,NA
15-01-09,AHMEDABAD,Onion,NA
15-01-09,BHOPAL,Onion,NA
15-01-09,MUMBAI,Onion,NA
15-01-09,JAIPUR,Onion,1200
15-01-09,PATNA,Onion,NA
15-01-09,RANCHI,Onion,NA
15-01-09,BHUBANESHWAR,Onion,NA
15-01-09,KOLKATA,Onion,NA
15-01-09,GUWAHATI,Onion,NA
15-01-09,SHILLONG,Onion,NA
15-01-09,AIZWAL,Onion,NA
15-01-09,KOHIMA,Onion,NA
15-01-09,AGARTALA,Onion,NA
15-01-09,BENGALURU,Onion,1400
15-01-09,T.PURAM,Onion,NA
15-01-09,CHENNAI,Onion,NA
15-01-09,HYDERABAD,Onion,NA
16-01-09,CHANDIGARH,Onion,NA
16-01-09,DELHI,Onion,1062
16-01-09,SHIMLA,Onion,NA
16-01-09,SRINAGAR,Onion,NA
16-01-09,JAMMU,Onion,NA
16-01-09,AMRITSAR,Onion,NA
16-01-09,LUDHIANA,Onion,NA
16-01-09,LUCKNOW,Onion,NA
16-01-09,DEHRADUN,Onion,NA
16-01-09,RAIPUR,Onion,NA
16-01-09,AHMEDABAD,Onion,NA
16-01-09,BHOPAL,Onion,NA
16-01-09,MUMBAI,Onion,NA
16-01-09,JAIPUR,Onion,1200
16-01-09,PATNA,Onion,NA
16-01-09,RANCHI,Onion,NA
16-01-09,BHUBANESHWAR,Onion,1600
16-01-09,KOLKATA,Onion,NA
16-01-09,GUWAHATI,Onion,NA
16-01-09,SHILLONG,Onion,NA
16-01-09,AIZWAL,Onion,NA
16-01-09,KOHIMA,Onion,NA
16-01-09,AGARTALA,Onion,NA
16-01-09,BENGALURU,Onion,NA
16-01-09,T.PURAM,Onion,NA
16-01-09,CHENNAI,Onion,NA
16-01-09,HYDERABAD,Onion,NA
19-01-09,CHANDIGARH,Onion,NA
19-01-09,DELHI,Onion,1050
19-01-09,SHIMLA,Onion,NA
19-01-09,SRINAGAR,Onion,NA
19-01-09,JAMMU,Onion,NA
19-01-09,AMRITSAR,Onion,NA
19-01-09,LUDHIANA,Onion,NA
19-01-09,LUCKNOW,Onion,NA
19-01-09,DEHRADUN,Onion,NA
19-01-09,RAIPUR,Onion,NA
19-01-09,AHMEDABAD,Onion,NA
19-01-09,BHOPAL,Onion,NA
19-01-09,MUMBAI,Onion,NA
19-01-09,JAIPUR,Onion,1200
19-01-09,PATNA,Onion,NA
19-01-09,RANCHI,Onion,NA
19-01-09,BHUBANESHWAR,Onion,1600
19-01-09,KOLKATA,Onion,NA
19-01-09,GUWAHATI,Onion,NA
19-01-09,SHILLONG,Onion,NA
19-01-09,AIZWAL,Onion,NA
19-01-09,KOHIMA,Onion,NA
19-01-09,AGARTALA,Onion,NA
19-01-09,BENGALURU,Onion,1400
19-01-09,T.PURAM,Onion,NA
19-01-09,CHENNAI,Onion,1800
19-01-09,HYDERABAD,Onion,NA
20-01-09,CHANDIGARH,Onion,NA
20-01-09,DELHI,Onion,1125
20-01-09,SHIMLA,Onion,NA
20-01-09,SRINAGAR,Onion,NA
20-01-09,JAMMU,Onion,NA
20-01-09,AMRITSAR,Onion,NA
20-01-09,LUDHIANA,Onion,NA
20-01-09,LUCKNOW,Onion,NA
20-01-09,DEHRADUN,Onion,NA
20-01-09,RAIPUR,Onion,NA
20-01-09,AHMEDABAD,Onion,NA
20-01-09,BHOPAL,Onion,NA
20-01-09,MUMBAI,Onion,NA
20-01-09,JAIPUR,Onion,NA
20-01-09,PATNA,Onion,NA
20-01-09,RANCHI,Onion,NA
20-01-09,BHUBANESHWAR,Onion,1600
20-01-09,KOLKATA,Onion,NA
20-01-09,GUWAHATI,Onion,NA
20-01-09,SHILLONG,Onion,NA
20-01-09,AIZWAL,Onion,NA
20-01-09,KOHIMA,Onion,NA
20-01-09,AGARTALA,Onion,NA
20-01-09,BENGALURU,Onion,NA
20-01-09,T.PURAM,Onion,NA
20-01-09,CHENNAI,Onion,1800
20-01-09,HYDERABAD,Onion,NA
21-01-09,CHANDIGARH,Onion,NA
21-01-09,DELHI,Onion,1125
21-01-09,SHIMLA,Onion,NA
21-01-09,SRINAGAR,Onion,NA
21-01-09,JAMMU,Onion,NA
21-01-09,AMRITSAR,Onion,NA
21-01-09,LUDHIANA,Onion,NA
21-01-09,LUCKNOW,Onion,NA
21-01-09,DEHRADUN,Onion,NA
21-01-09,RAIPUR,Onion,NA
21-01-09,AHMEDABAD,Onion,NA
21-01-09,BHOPAL,Onion,NA
21-01-09,MUMBAI,Onion,NA
21-01-09,JAIPUR,Onion,1200
21-01-09,PATNA,Onion,NA
21-01-09,RANCHI,Onion,NA
21-01-09,BHUBANESHWAR,Onion,1800
21-01-09,KOLKATA,Onion,NA
21-01-09,GUWAHATI,Onion,NA
